t,Input_0,Output_0
262,1.0,2.0178017616271973
263,1.0,2.0178017616271973
264,1.0,2.0178017616271973
265,1.0,2.0178017616271973
266,1.0,2.0178017616271973
267,1.0,2.0178017616271973
268,1.0,2.0178017616271973
269,1.0,2.0178017616271973
270,1.0,2.0178017616271973
271,1.0,2.0178017616271973
272,1.0,2.0178017616271973
273,1.0,2.0178017616271973
274,1.0,2.0178017616271973
275,1.0,2.0178017616271973
276,1.0,2.0178017616271973
277,1.0,2.0178017616271973
278,1.0,2.0178017616271973
279,1.0,2.0178017616271973
280,1.0,2.0178017616271973
281,1.0,2.0178017616271973
282,1.0,2.0178017616271973
283,1.0,2.0178017616271973
284,1.0,2.0178017616271973
285,1.0,2.0178017616271973
286,1.0,2.0178017616271973
287,1.0,2.0178017616271973
288,1.0,2.0178017616271973
289,1.0,2.0178017616271973
290,1.0,2.0178017616271973
291,1.0,2.0178017616271973
292,1.0,2.0178017616271973
293,1.0,2.0178017616271973
294,1.0,2.0178017616271973
295,1.0,2.0178017616271973
296,1.0,2.0178017616271973
297,1.0,2.0178017616271973
298,1.0,2.0178017616271973
299,1.0,2.0178017616271973
300,1.0,2.0178017616271973
301,1.0,2.0178017616271973
302,1.0,2.0178017616271973
303,1.0,2.0178017616271973
304,1.0,2.0178017616271973
305,1.0,2.0178017616271973
306,1.0,2.0178017616271973
307,1.0,2.0178017616271973
308,1.0,2.0178017616271973
309,1.0,2.0178017616271973
310,1.0,2.0178017616271973
311,1.0,2.0178017616271973
312,1.0,2.0178017616271973
313,1.0,2.0178017616271973
314,1.0,2.0178017616271973
315,1.0,2.0178017616271973
316,1.0,2.0178017616271973
317,1.0,2.0178017616271973
318,1.0,2.0178017616271973
319,1.0,2.0178017616271973
320,1.0,2.0178017616271973
321,1.0,2.0178017616271973
322,1.0,2.0178017616271973
323,1.0,2.0178017616271973
324,1.0,2.0178017616271973
325,0.805882352941176,1.8787872791290283
326,0.4,1.5881205797195435
327,0.4,1.5881205797195435
328,0.4,1.5881205797195435
329,0.4,1.5881205797195435
330,0.4,1.5881205797195435
331,0.4,1.5881205797195435
332,0.4,1.5881205797195435
333,0.492647058823529,1.6544684171676636
334,0.994230769230769,2.0136702060699463
335,1.0,2.0178017616271973
336,0.55,1.6955409049987793
337,0.4,1.5881205797195435
338,0.4,1.5881205797195435
339,0.4,1.5881205797195435
340,0.4,1.5881205797195435
341,0.4,1.5881205797195435
342,0.4,1.5881205797195435
343,0.4,1.5881205797195435
344,0.770588235294117,1.8535118103027344
345,1.0,2.0178017616271973
346,0.716666666666666,1.814896821975708
347,0.4,1.5881205797195435
348,0.4,1.5881205797195435
349,0.4,1.5881205797195435
350,0.4,1.5881205797195435
351,0.4,1.5881205797195435
352,0.4,1.5881205797195435
353,0.4,1.5881205797195435
354,0.594117647058823,1.7271350622177124
355,1.0,2.0178017616271973
356,1.0,2.0178017616271973
357,0.943606138107416,1.9774161577224731
358,0.398067632850241,1.586736798286438
359,0.3,1.5165071487426758
360,0.3,1.5165071487426758
361,0.3,1.5165071487426758
362,0.3,1.5165071487426758
363,0.3,1.5165071487426758
364,0.3,1.5165071487426758
365,0.3,1.5165071487426758
366,0.67697628458498,1.786473035812378
367,1.0,2.0178017616271973
368,1.0,2.0178017616271973
369,1.0,2.0178017616271973
370,1.0,2.0178017616271973
371,1.0,2.0178017616271973
372,1.0,2.0178017616271973
